timestamp,volume,vw,open,close,high,low,transactions
1703462400000,41,3.5964,3.5673,3.5931,3.60989,3.5673,41
1703548800000,837,3.6181,3.6122,3.62614,3.6315,3.5899,837
1703635200000,890,3.6188,3.6183,3.61891,3.62898,3.6063,890
1703721600000,862,3.6159,3.6112,3.6242,3.6261,3.60765,862
1703808000000,804,3.6132,3.6188,3.5979,3.6269,3.5962,804
1703980800000,1,3.6,3.6,3.6,3.6,3.6,1
1704153600000,1104,3.6233,3.6218,3.6372,3.6385,3.6,1104
1704240000000,1026,3.6414,3.6462,3.65544,3.66188,3.62966,1026
1704326400000,1030,3.6503,3.65188,3.6548,3.6613,3.6384,1030
1704412800000,915,3.6731,3.6484,3.67307,3.68971,3.6469,915
1704585600000,1,3.6757,3.6757,3.6757,3.6757,3.6757,1
1704672000000,1013,3.7045,3.68892,3.7067,3.72308,3.6745,1013
1704758400000,1058,3.7156,3.7074,3.7306,3.7361,3.68842,1058
1704844800000,1066,3.749,3.7251,3.737,3.767,3.7211,1066
1704931200000,1058,3.7434,3.7396,3.74495,3.7547,3.7295,1058
1705017600000,927,3.7276,3.71757,3.7266,3.73706,3.7097,927
1705190400000,1,3.7284,3.7284,3.7284,3.7284,3.7284,1
1705276800000,986,3.7428,3.71538,3.7505,3.75645,3.71517,986
1705363200000,1160,3.7682,3.75628,3.76788,3.7876,3.75056,1160
1705449600000,1064,3.7832,3.7598,3.79413,3.7953,3.75887,1064
1705536000000,1079,3.7721,3.7842,3.7588,3.7887,3.7544,1079
1705622400000,969,3.7435,3.7489,3.7411,3.7554,3.72857,969
1705795200000,1,3.741,3.741,3.741,3.741,3.741,1
1705881600000,1088,3.7643,3.7472,3.7613,3.7734,3.7403,1088
1705968000000,1072,3.7604,3.7625,3.7531,3.7764,3.7409,1072
1706054400000,1082,3.7175,3.7461,3.70129,3.7522,3.6998,1082
1706140800000,1049,3.6957,3.6969,3.69623,3.70774,3.67313,1049
1706227200000,1004,3.6939,3.6918,3.68324,3.7114,3.6797,1004
1706400000000,1,3.6829,3.6829,3.6829,3.6829,3.6829,1
1706486400000,1142,3.6836,3.6758,3.65515,3.70004,3.65193,1142
1706572800000,1072,3.6484,3.65498,3.6588,3.66028,3.6378,1072
1706659200000,1109,3.6418,3.6512,3.6377,3.67035,3.6248,1109
1706745600000,1728,3.6632,3.65985,3.65952,3.668,3.65868,1728
1706832000000,933,3.6474,3.6384,3.6531,3.66339,3.6335,933
1707004800000,1,3.6532,3.65318,3.65318,3.65318,3.65318,1
1707091200000,1089,3.6703,3.65778,3.67005,3.68181,3.6515,1089
1707177600000,1150,3.6532,3.6535,3.64481,3.67001,3.6367,1150
1707264000000,1083,3.645,3.64018,3.6521,3.6544,3.6365,1083
1707350400000,1033,3.6708,3.6499,3.69484,3.6968,3.6489,1033
1707436800000,978,3.6803,3.6827,3.668,3.68965,3.6657,978
1707609600000,1,3.6672,3.6672,3.6672,3.6672,3.6672,1
1707696000000,1040,3.6779,3.6828,3.659,3.69998,3.65,1040
1707782400000,1100,3.6505,3.6476,3.6716,3.6719,3.6354,1100
1707868800000,1071,3.6581,3.6457,3.65343,3.6654,3.6457,1071
1707955200000,1103,3.6286,3.6432,3.6217,3.65176,3.6191,1103
1708041600000,1026,3.6101,3.61188,3.6018,3.62988,3.6007,1026
1708214400000,1,3.6041,3.6041,3.6041,3.6041,3.6041,1
1708300800000,1119,3.6145,3.60368,3.6331,3.6337,3.6003,1119
1708387200000,905,3.654,3.62997,3.6708,3.6729,3.62944,905
1708473600000,1109,3.6783,3.66891,3.67779,3.6947,3.66672,1109
1708560000000,1096,3.6514,3.67734,3.6359,3.67779,3.6336,1096
1708646400000,1083,3.6301,3.6343,3.6274,3.6428,3.6163,1083
1708819200000,1,3.6298,3.6298,3.6298,3.6298,3.6298,1
1708905600000,1162,3.6385,3.62359,3.6394,3.65266,3.62043,1162
1708992000000,789,3.622,3.62438,3.60732,3.6409,3.60654,789
1709078400000,1141,3.6096,3.6086,3.59201,3.6233,3.57604,1141
1709164800000,1169,3.5761,3.5885,3.5705,3.5983,3.5499,1169
1709251200000,1043,3.5636,3.5685,3.5636,3.57662,3.5509,1043
1709424000000,1,3.5648,3.5648,3.5648,3.5648,3.5648,1
1709510400000,1032,3.564,3.5501,3.5758,3.58344,3.5469,1032
1709596800000,953,3.5886,3.5694,3.58691,3.59743,3.5678,953
1709683200000,993,3.5985,3.58562,3.5833,3.6087,3.57918,993
1709769600000,990,3.5855,3.584,3.5814,3.59392,3.57198,990
1709856000000,870,3.57,3.5393,3.5718,3.57996,3.5393,870
1710115200000,1044,3.6027,3.5693,3.6268,3.63147,3.5693,1044
1710201600000,1099,3.6485,3.6193,3.6577,3.6642,3.6193,1099
1710288000000,1010,3.6546,3.64457,3.63501,3.6732,3.6346,1010
1710374400000,1019,3.6349,3.6254,3.65342,3.65539,3.62153,1019
1710460800000,885,3.654,3.6393,3.6789,3.68077,3.63588,885
1710720000000,934,3.6518,3.6631,3.65009,3.6793,3.63935,934
1710806400000,1012,3.6649,3.6493,3.6712,3.67922,3.6493,1012
1710892800000,1121,3.6681,3.6588,3.65329,3.67966,3.64942,1121
1710979200000,1161,3.611,3.62977,3.60152,3.65226,3.58657,1161
1711065600000,915,3.6248,3.6088,3.63889,3.64,3.5959,915
1711238400000,1,3.64,3.64,3.64,3.64,3.64,1
1711324800000,1043,3.634,3.62686,3.64064,3.64551,3.62369,1043
1711411200000,1091,3.6582,3.64171,3.6664,3.67225,3.64004,1091
1711497600000,1029,3.6654,3.6606,3.67602,3.67962,3.65682,1029
1711584000000,1070,3.6809,3.6773,3.66312,3.6909,3.65888,1070
1711670400000,613,3.6743,3.6663,3.68339,3.69078,3.6562,613
1711929600000,937,3.6659,3.67652,3.67542,3.69078,3.65612,937
1712016000000,1055,3.6937,3.686,3.71382,3.71612,3.67453,1055
1712102400000,1045,3.723,3.70412,3.71228,3.7333,3.6983,1045
1712188800000,1036,3.7095,3.694,3.7085,3.72807,3.68998,1036
1712275200000,1011,3.749,3.7363,3.76053,3.76571,3.71016,1011
1712534400000,1188,3.7054,3.7243,3.67824,3.76229,3.6709,1188
1712620800000,1020,3.6871,3.69086,3.69484,3.70024,3.67072,1020
1712707200000,786,3.7127,3.6943,3.73538,3.73952,3.6813,786
1712793600000,1058,3.7552,3.7388,3.75421,3.76502,3.7348,1058
1712880000000,999,3.7597,3.72719,3.76788,3.77604,3.7193,999
1713139200000,1158,3.7248,3.7279,3.7534,3.77211,3.70275,1158
1713225600000,1124,3.7554,3.74414,3.75474,3.77184,3.73262,1124
1713312000000,1120,3.7659,3.7566,3.78528,3.7918,3.7488,1120
1713398400000,1100,3.7871,3.8091,3.79217,3.8099,3.76915,1100
1713484800000,1004,3.7789,3.81577,3.7591,3.81767,3.75402,1004
1713744000000,1020,3.7592,3.75322,3.7761,3.7774,3.74538,1020
1713830400000,912,3.7749,3.7659,3.76468,3.78788,3.75658,912
1713916800000,1013,3.7663,3.7658,3.77682,3.79026,3.75295,1013
1714003200000,1009,3.7911,3.7798,3.80268,3.80668,3.7698,1009
1714089600000,1096,3.8057,3.8013,3.82657,3.82693,3.77788,1096
1714262400000,2,3.8266,3.8266,3.8266,3.8266,3.8266,2
1714348800000,917,3.7686,3.7744,3.76072,3.8266,3.75464,917
1714435200000,1097,3.7463,3.7498,3.73302,3.7624,3.73068,1097
1714521600000,1020,3.7366,3.74242,3.75452,3.75547,3.71848,1020
1714608000000,1111,3.74,3.7473,3.72395,3.75719,3.72253,1111
1714694400000,1080,3.7142,3.7144,3.71466,3.72418,3.69979,1080
1714867200000,1,3.7146,3.71456,3.71456,3.71456,3.71456,1
